GuidelineCode,Title,Category,Step,Status,Dated,Summary,SourceUrl
M11 EWG,Clinical electronic Structured Harmonised Protocol (CeSHarP),Multidisciplinary Guidelines,Step 5,Finalised,01/01/0001 00:00:00,"This topic was endorsed by the ICH Management Committee in November 2018. This new guideline is proposed to provide comprehensive clinical protocol organisation with standardised content, with:",https://www.ich.org/page/multidisciplinary-guidelines
M12,Drug Interaction Studies,Multidisciplinary Guidelines,Step 4,Under Development,05/21/2024 00:00:00,This topic was endorsed by the ICH Assembly in June 2018.,https://www.ich.org/page/multidisciplinary-guidelines
M12 Q&As,Question and Answers: Drug Interactions Studies,Multidisciplinary Guidelines,Step 4,Under Development,05/21/2024 00:00:00,ICH M12 Question and Answer (Q&A) have been devised to have been developed to provide clarity around some of the concepts related to evaluation of drug interaction covered in the Guideline.,https://www.ich.org/page/multidisciplinary-guidelines
M13A EWG,Bioequivalence for Immediate-Release Solid Oral Dosage Forms,Multidisciplinary Guidelines,Step 4,Under Development,07/23/2024 00:00:00,This topic was endorsed by the ICH Assembly in November 2019.,https://www.ich.org/page/multidisciplinary-guidelines
M13A Q&As,Question and Answers: Bioequivalence for Immediate-Release Solid Oral Dosage Forms,Multidisciplinary Guidelines,Step 4,Under Development,07/23/2024 00:00:00,ICH M13A Questions and Answers (Q&As) have been developed to provide clarity on concepts related to the evaluation of bioequivalence for immediate-release solid oral dosage forms as covered in the Guideline. This Q&A document is intended to offer additional clarification and improve harmonization.,https://www.ich.org/page/multidisciplinary-guidelines
M13B EWG,Bioequivalence for Immediate-Release Solid Oral Dosage Forms,Multidisciplinary Guidelines,Step 3,Under Development,01/01/0001 00:00:00,"Part of the foreseen ICH M13 Guideline series (M13A-C), the ICH M13B Guideline is intended to provide recommendations on obtaining waivers of bioequivalence (BE) studies for one or more additional strengths of a drug product in an application where in vivo BE has been demonstrated for at least one of the strengths. This guideline is applicable to both development and post approval phases for orally administered immediate-release (IR) solid oral dosage forms designed to deliver drugs to the systemic circulation, such as tablets, capsules, and granules/powders for oral suspension. The ICH M13B Guideline is the second Guideline in the foreseen series to describe the scientific and technical aspects of demonstrating BE for additional strengths of a drug product, i.e., obtaining waiver(s) for one or more strengths in an application with multiple strengths when BE has been demonstrated for at least one of the strengths following ICH M13A. How regulatory decisions may be made based on BE assessment is out of the scope of this guideline.",https://www.ich.org/page/multidisciplinary-guidelines
M13C EWG,Bioequivalence for Immediate-Release Solid Oral Dosage Forms,Multidisciplinary Guidelines,,Retired,01/01/0001 00:00:00,"Part of the foreseen ICH M13 Guideline series (M13A-C), the ICH M13C Guideline is intended to provide recommendations on data analysis and BE assessment for 1) highly variable drugs, 2) drugs with narrow therapeutic index, and 3) complex BE study design and data analysis considerations, e.g., adaptive BE study design for orally administered immediate-release (IR) solid oral dosage forms designed to deliver drugs to the systemic circulation, such as tablets, capsules, and granules/powders for oral suspension. The ICH M13C Guideline is the third Guideline in the foreseen series to describe the scientific and technical aspects of study design and data analysis to support BE assessment for orally administered IR solid oral dosage forms. How regulatory decisions may be made based on BE assessment is out of the scope of this guideline.",https://www.ich.org/page/multidisciplinary-guidelines
M14,"General Principles on Plan, Design, Analysis, and Reporting of Non-Interventional Studies That Utilize Real-World Data for Safety Assessment of Medicines",Multidisciplinary Guidelines,Step 4,Under Development,09/04/2025 00:00:00,This topic was endorsed by the ICH Assembly in in June 2021.,https://www.ich.org/page/multidisciplinary-guidelines
M15 EWG,General Principles for Model-Informed Drug Development,Multidisciplinary Guidelines,Step 5,Finalised,01/01/0001 00:00:00,This topic was endorsed by the ICH Assembly in May 2020.,https://www.ich.org/page/multidisciplinary-guidelines
M16 EWG,Structured Product Quality Submissions,Multidisciplinary Guidelines,,Retired,01/01/0001 00:00:00,"This topic was endorsed by the ICH Assembly in April 2025, and the M16 Working Group has been established to develop a final Concept Paper.",https://www.ich.org/page/multidisciplinary-guidelines
M18 EWG,Framework for Determining the Utility of Comparative Efficacy Studies in Biosimilar Development Programs,Multidisciplinary Guidelines,,Retired,01/01/0001 00:00:00,"This topic was endorsed by the ICH Assembly in May 2025, and the M18 Working Group has been established to develop a final Concept Paper.",https://www.ich.org/page/multidisciplinary-guidelines
